"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","gga04080","Neuroactive ligand-receptor interaction","16/191","105/3498",0.152380952380952,2.79072550486163,4.47691801437756,0.000140304878036825,0.00939431100463693,0.00815388028103298,"NMU/KNG1/AGT/HRH3/NPY/HTR1B/MC5R/BDKRB1/LPAR1/F2RL1/BDKRB2/DRD1/NMB/PENK/F2/C5",16
"Environmental Information Processing","Signaling molecules and interaction","gga04060","Cytokine-cytokine receptor interaction","11/191","56/3498",0.196428571428571,3.5974195961107,4.7084514379751,0.00016481247376556,0.00939431100463693,0.00815388028103298,"BMP4/IL15/TNFSF15/IL7R/TNFRSF11B/IL20RA/GDF11/IL2RB/CXCL14/TNFRSF19/TNFSF10",11
"Metabolism","Global and overview maps","gga01230","Biosynthesis of amino acids","8/191","38/3498",0.210526315789474,3.85560760540094,4.25304209470565,0.000808941357753086,0.0249685658653739,0.0216717007511094,"PRPS2/OTC/ALDOB/PAH/IDH1/GLUL/RPIA/PSAT1",8
"Metabolism","Amino acid metabolism","gga00380","Tryptophan metabolism","6/191","22/3498",0.272727272727273,4.99476439790576,4.51658335359273,0.000876090030363997,0.0249685658653739,0.0216717007511094,"TDO2/CYP1B1/ALDH8A1/KMO/CAT/HAAO",6
"Organismal Systems","Endocrine system","gga03320","PPAR signaling pathway","8/191","41/3498",0.195121951219512,3.57348997573745,3.98301664966184,0.00137243283647038,0.0312914686715247,0.0271597235006771,"ACSL5/PCK1/FABP2/RXRG/PPARA/ACSL4/ACOX1/CPT1A",8
"Organismal Systems","Endocrine system","gga04920","Adipocytokine signaling pathway","8/191","44/3498",0.181818181818182,3.32984293193717,3.73713870987274,0.00221110794238207,0.0420110509052594,0.0364638853655991,"ACSL5/PCK1/NPY/RXRG/NFKBIE/PPARA/ACSL4/CPT1A",8
"Metabolism","Amino acid metabolism","gga00350","Tyrosine metabolism","4/191","12/3498",0.333333333333333,6.10471204188482,4.25643085170741,0.00301541653961134,0.0491082122165276,0.0426239330411227,"HGD/TAT/DCT/FAH",4
