"gene","logFC_106839","logFC_299945","adjP_106839","adjP_299945","avg_logFC","direction_consistent","fisher_combined_p","stouffer_combined_p","effect_ratio","effect_consistent","integrated_score","fisher_FDR","stouffer_FDR"
"PCK1",1.62523894565246,3.57375414739676,0.000365853168668539,2.10419771118565e-05,2.59949654652461,TRUE,1.51519505034856e-07,6.30891738850892e-08,0.454770775666351,TRUE,1,1.08837230904699e-05,4.92264795735861e-06
"GBX2",-1.97979588858554,-3.72621356841433,0.000365853168668539,1.16032044273309e-05,-2.85300472849994,TRUE,8.60794216535876e-08,3.71673093413349e-08,0.531315731703492,TRUE,0.75,9.95349288036787e-06,4.89521725828834e-06
"PLEKHG1",1.06488775370111,2.70713456039803,0.000365853168668539,1.22784059788428e-05,1.88601115704957,TRUE,9.08343890066447e-08,3.90726088150828e-08,0.393363436483387,TRUE,1,9.95349288036787e-06,4.89521725828834e-06
"DUSP4",-1.63388842353855,-1.95322254004129,0.000365853168668539,3.43268621448661e-05,-1.79355548178992,TRUE,2.41035294913305e-07,9.79867250672228e-08,0.836509097168219,TRUE,0.75,1.15504554227944e-05,5.57406363536766e-06
"ITIH2",0.992357536430876,3.12738521284497,0.000365853168668539,5.76639506334051e-06,2.05987137463792,TRUE,4.42536655389851e-08,2.01272559730015e-08,0.317312217361331,TRUE,1,9.95349288036787e-06,4.89521725828834e-06
"TNFSF10",1.29830389579633,1.80962767495668,0.000371310226441277,3.23967307610906e-05,1.55396578537651,TRUE,2.31393517495621e-07,9.44473697028769e-08,0.717442551174187,TRUE,1,1.15504554227944e-05,5.48312264110675e-06
"KIF5C",-1.10545150376428,-0.990681182835459,0.000382755094946185,7.06191799391423e-05,-1.04806634329987,TRUE,4.98060790553897e-07,1.98243645610496e-07,0.896177877963886,TRUE,0.75,1.4528387253326e-05,6.66102932271916e-06
"PDK4",1.35571715831059,4.05290265405585,0.000399401074999676,1.16032044273309e-05,2.70430990618322,TRUE,9.35661208247378e-08,4.08688396458246e-08,0.334505235884185,TRUE,1,9.95349288036787e-06,4.89521725828834e-06
"GPR158",-2.0701023017567,-2.39649521382603,0.000399401074999676,0.00353238252226198,-2.23329875779136,TRUE,2.04166892275837e-05,9.51985537589461e-06,0.863804062621831,TRUE,0.75,0.000137889926607968,6.9143354041202e-05
"PPRC1",-1.3528962524008,-1.1560276518466,0.000399401074999676,3.64900083774899e-05,-1.2544619521237,TRUE,2.77550326233047e-07,1.13520521427546e-07,0.854483593841845,TRUE,0.75,1.20026355364862e-05,5.74113067800963e-06
"GMNN",-1.1841830885354,-1.49044417149113,0.000399401074999676,0.000122535441187938,-1.33731363001326,TRUE,8.72744154149587e-07,3.44764376269957e-07,0.7945169038775,TRUE,0.75,1.94619906971923e-05,8.64562974338508e-06
"SLBP",-1.61780271409799,-1.01637458438426,0.000399401074999676,0.000271856940509689,-1.31708864924113,TRUE,1.84974410824306e-06,7.30772048207484e-07,0.628243836858034,TRUE,0.75,2.8198617017029e-05,1.2985375011754e-05
"NEU2",1.19996148752945,2.36364621167976,0.000399401074999676,0.00331378644584438,1.7818038496046,TRUE,1.92377822646465e-05,8.89863436337457e-06,0.507673898741675,TRUE,1,0.000132747222567889,6.62784049771203e-05
"GPSM1",-1.20298738297191,-0.988085725181271,0.000399401074999676,0.000922512546211785,-1.09553655407659,TRUE,5.82669093829502e-06,2.40299332987526e-06,0.821360006902372,TRUE,0.75,5.8428724390849e-05,2.65495471947081e-05
"HEY1",-1.2679102797747,-1.43580622435837,0.000399401074999676,3.64900083774899e-05,-1.35185825206654,TRUE,2.77550326233047e-07,1.13520521427546e-07,0.883065039184725,TRUE,0.75,1.20026355364862e-05,5.74113067800963e-06
"KMO",1.08338976133328,3.44729405195931,0.000399401074999676,6.23043140461783e-05,2.2653419066463,TRUE,4.60586150352085e-07,1.84629036281692e-07,0.314272512006198,TRUE,1,1.40936036475967e-05,6.56564813053483e-06
"NCF4",-4.11999767541614,-1.44224693354166,0.000399401074999676,0.00640916448678538,-2.7811223044789,TRUE,3.55190633719398e-05,1.80666294452569e-05,0.350060132836357,TRUE,0.75,0.000203556173861097,0.000109615426755904
"PIM1",-1.01533063299404,-2.21615035271076,0.000399401074999676,7.11387729539935e-05,-1.6157404928524,TRUE,5.22127498390651e-07,2.08493153186495e-07,0.458150608667913,TRUE,0.75,1.48508479072455e-05,6.71934587988112e-06
"HAL",1.16600261589561,1.38706209486522,0.000399401074999676,0.000111451405102385,1.27653235538042,TRUE,7.98019848343665e-07,3.1564884195312e-07,0.840627553886768,TRUE,1,1.88412708483591e-05,8.1066058274361e-06
"BAMBI",1.01286160724,1.62764403612004,0.000399401074999676,1.02964459322397e-05,1.32025282168002,TRUE,8.35200203504187e-08,3.67915188315138e-08,0.622286928077007,TRUE,1,9.95349288036787e-06,4.89521725828834e-06
"PLSCR5",1.05546091944203,3.46276458777293,0.000399401074999676,0.0063778345387023,2.25911275360748,TRUE,3.53579179527409e-05,1.79700675619898e-05,0.304802966730361,TRUE,1,0.000202888312068592,0.000109185872871273
"RBM38",-1.13750800555242,-1.97209448390875,0.000399401074999676,5.82174212225194e-06,-1.55480124473058,TRUE,4.85491199077609e-08,2.23567914181544e-08,0.576801981260983,TRUE,0.75,9.95349288036787e-06,4.89521725828834e-06
"TP73",-1.54592829463813,-1.47506882598285,0.000399401074999676,5.22145671400087e-05,-1.51049856031049,TRUE,3.89681808381956e-07,1.57122902688656e-07,0.954163806367313,TRUE,0.75,1.31591354894242e-05,6.23353319074401e-06
"SEPT5",-2.18507310796871,-0.943278661288572,0.000399401074999676,5.5691558160373e-05,-1.56417588462864,TRUE,4.14196933585708e-07,1.66635979126362e-07,0.431692037144452,TRUE,0.75,1.35028200348941e-05,6.33008971796007e-06
"RBP4",0.901254069780689,1.37571844281425,0.000399401074999676,0.00600776345213601,1.13848625629747,TRUE,3.34497232220354e-05,1.6835004513216e-05,0.655115205068438,TRUE,1,0.000195530933813774,0.000104308112758785
"TDRKH",-1.37871942467022,-1.4778939007937,0.000399401074999676,0.000491688387967825,-1.42830666273196,TRUE,3.22913186685169e-06,1.29341519350401e-06,0.932894725345159,TRUE,0.75,3.98981365939285e-05,1.77682126096272e-05
"ELP2",-1.29766424975493,-0.9482344313629,0.000399401074999676,8.35719739618838e-05,-1.12294934055891,TRUE,6.0800525566772e-07,2.41804507861154e-07,0.730724015508619,TRUE,0.75,1.61045392094987e-05,7.2149665019666e-06
"PRKCB",-2.29559543075312,-4.48962575116907,0.000405393623023655,0.000207540667931947,-3.3926105909611,TRUE,1.45477589707263e-06,5.73838202178045e-07,0.511311088714992,TRUE,0.75,2.50408864357577e-05,1.14323645535601e-05
"NOC2L",-0.977214006882952,-1.03487745113113,0.000405393623023655,4.27686717079528e-05,-1.00604572900704,TRUE,3.27177014987214e-07,1.3311292867968e-07,0.944279929778014,TRUE,0.75,1.24277276836844e-05,5.92545532319244e-06
