"Module","Correlation","Pvalue"
"ME6",0.967790120342256,2.58665033901893e-07
"ME3",-0.869156125357987,0.000241479059813311
"ME5",0.802864667765966,0.00166641144922753
"ME4",-0.634985020848209,0.0265247411241771
"ME9",-0.514268383103529,0.087163067477047
"ME2",0.437467934402271,0.154966059841545
"ME8",-0.258344208070312,0.417515674492617
"ME1",0.155944388192563,0.628405066702712
"ME7",0.119955022364911,0.710388969525883
"ME0",0.0891276255505654,0.782969082797334
