"gene_name","logFC_meta","IVW_adjp"
"GUCY2C",-2.722,"9.993e-05"
"PALMD",-2.7315,"1.001e-04"
"DLL1",-2.261,"1.009e-04"
"PLK3",1.9009,"1.016e-04"
"TDO2",-4.1361,"1.027e-04"
"NEDD9",-1.6878,"1.036e-04"
"GIMD1",-3.0652,"1.042e-04"
"SERPINA10",-2.7004,"1.042e-04"
"HGD",-2.2317,"1.056e-04"
"FOXP1",-1.5098,"1.062e-04"
"CNTNAP5",-1.929,"1.082e-04"
"MYC",-2.5996,"1.110e-04"
"SLC2A2",-2.9233,"1.131e-04"
"APOH",-1.5011,"1.145e-04"
"KRT18",-1.8582,"1.162e-04"
"MBL2",-2.4565,"1.163e-04"
"DSG2",-1.7033,"1.212e-04"
"ALAS1",-1.8994,"1.228e-04"
"PCMTD1",-1.718,"1.247e-04"
"GAS2",-1.5294,"1.247e-04"
"PDE1A",-1.6877,"1.248e-04"
"TNFRSF19",-1.6714,"1.250e-04"
"PIM3",-1.5763,"1.253e-04"
"PLXNB2",-1.9591,"1.262e-04"
"SLC16A3",2.1455,"1.266e-04"
"FGFRL1",-2.4008,"1.275e-04"
"GPR146",-2.606,"1.283e-04"
"CNOT6",-1.6367,"1.286e-04"
"PIM1",1.6009,"1.293e-04"
"CMTM8",-1.555,"1.315e-04"
"HOXB6",-1.5476,"1.353e-04"
"MELTF",-2.1009,"1.384e-04"
"LZTS3",-2.1356,"1.392e-04"
"RHOF",1.6893,"1.411e-04"
"LMO7",-2.0559,"1.428e-04"
"ANK3",-2.0359,"1.431e-04"
"FMO3",-1.6653,"1.464e-04"
"C5",-1.568,"1.464e-04"
"CEBPD",-1.5266,"1.532e-04"
"XDH",-2.1122,"1.547e-04"
"SYT11",2.031,"1.572e-04"
"MPZL3",1.9936,"1.588e-04"
"CLDN1",-1.7079,"1.588e-04"
"MMP23B",-1.6182,"1.643e-04"
"GC",-1.7419,"1.655e-04"
"CALR3",1.9173,"1.680e-04"
"APOB",-4.0981,"1.687e-04"
"CDO1",-1.5599,"1.700e-04"
"NCS1",1.6466,"1.727e-04"
"PLA2R1",-1.9879,"1.738e-04"
"OAF",-1.5972,"1.789e-04"
"PROZ",-3.0751,"1.798e-04"
"CYB5A",-1.5476,"1.812e-04"
"FABP2",-2.681,"1.830e-04"
"NKX2-1",3.12,"1.875e-04"
"DYNC1I1",-1.5847,"1.934e-04"
"CPT1A",-1.5181,"2.023e-04"
"GRK5",-1.817,"2.121e-04"
"CRYAA",2.085,"2.131e-04"
"ALS2CL",-2.2906,"2.154e-04"
"ST8SIA5",-2.2345,"2.169e-04"
"TMPRSS6",-2.3627,"2.219e-04"
"C1QTNF6",-2.3175,"2.279e-04"
"MYO1B",-1.9628,"2.304e-04"
"CCDC85A",3.0027,"2.319e-04"
"DRD1",-1.9423,"2.352e-04"
"FAM107A",-1.6091,"2.357e-04"
"KCNK13",2.8635,"2.391e-04"
"PSAT1",-1.5849,"2.522e-04"
"EML4",-1.6825,"2.536e-04"
"TRIM2",-1.7329,"2.571e-04"
"GPR137B",-1.5904,"2.575e-04"
"SLC30A10",-2.3222,"2.593e-04"
"PAH",-2.3038,"2.715e-04"
"MNX1",1.8383,"2.738e-04"
"VSX1",3.2359,"2.780e-04"
"NRP1",-2.0822,"2.787e-04"
"IL15",-2.7341,"2.790e-04"
"NMRK2",2.0473,"2.824e-04"
"FZD3",-1.6355,"2.824e-04"
"ADGRG2",-2.8446,"2.826e-04"
"CAMK1D",-1.9996,"2.840e-04"
"LAMA1",2.3816,"2.849e-04"
"PPP2R2B",1.6857,"2.854e-04"
"FFAR4",-1.5598,"2.863e-04"
"LHX4",2.1254,"2.886e-04"
"SPEF2",-3.0433,"2.943e-04"
"ESR1",-3.3929,"2.966e-04"
"KLB",-2.46,"2.971e-04"
"NFKBIE",2.0479,"2.995e-04"
"ZNF462",-1.6605,"3.007e-04"
"KLF15",-2.533,"3.090e-04"
"F5",-1.5678,"3.090e-04"
"FAH",-1.5377,"3.183e-04"
"TSHZ2",-1.9002,"3.287e-04"
"CREB3L2",-2.0189,"3.292e-04"
"DBX2",2.3635,"3.336e-04"
"BDKRB2",-2.0076,"3.428e-04"
"KCNK15",3.6564,"3.437e-04"
"ADCY1",-2.0016,"3.480e-04"
"GYPC",-1.6926,"3.566e-04"
"MYO6",-1.5625,"3.671e-04"
"DIO2",-1.5481,"3.720e-04"
"ZMYND11",-1.5152,"3.740e-04"
"PIT54",-1.6502,"3.814e-04"
"OLFM3",-1.5876,"3.903e-04"
"PPL",-1.5582,"3.921e-04"
"DCX",-1.864,"3.983e-04"
"CNGA3",2.0776,"4.031e-04"
"DENND4C",-2.3326,"4.054e-04"
"SLC2A9",-1.8855,"4.065e-04"
"VILL",-2.084,"4.147e-04"
"MDGA1",-2.4112,"4.196e-04"
"CALN1",-1.8417,"4.247e-04"
"BMP4",2.925,"4.271e-04"
"GDF11",1.8508,"4.489e-04"
"KCNG2",2.0134,"4.552e-04"
"TPBG",1.8656,"4.626e-04"
"NPY",-2.7806,"4.719e-04"
"ABCA1",-2.777,"4.738e-04"
"CARD10",-1.5352,"4.832e-04"
"FAM43A",2.2162,"4.834e-04"
"CHST11",1.8702,"4.922e-04"
"SUSD3",3.2866,"4.998e-04"
"FAM131B",2.2307,"5.309e-04"
"TBL1XR1",-1.6323,"5.415e-04"
"FRMD4B",-2.5252,"5.559e-04"
"TPPP",-3.0497,"5.734e-04"
"OTOP3",-1.8711,"5.795e-04"
"FMOD",-2.605,"5.800e-04"
"ANTXR1",-2.6333,"5.846e-04"
"HEYL",1.9504,"5.942e-04"
"SLC25A29",-1.8966,"6.002e-04"
"GCHFR",-1.9499,"6.088e-04"
"CAPN6",-1.9032,"6.153e-04"
"SULT1C3",-1.7652,"6.203e-04"
"FAM163A",2.4729,"6.507e-04"
"KCNB2",-2.3754,"6.592e-04"
"ELOVL2",-2.0809,"6.609e-04"
"MC5R",-2.3885,"6.636e-04"
"CORO2A",-1.8385,"6.640e-04"
"PIGR",-1.9851,"6.806e-04"
"TMEM51",-1.5918,"6.816e-04"
"MAN1A1",-2.5488,"6.852e-04"
"TAT",-2.189,"6.962e-04"
"CAPN5",-1.8486,"7.278e-04"
"BAIAP2L2",-1.9935,"7.389e-04"
"LRP2",-1.503,"7.521e-04"
"PXDN",-1.5896,"7.775e-04"
"WNT16",2.5193,"7.850e-04"
"IL7R",-2.2797,"7.850e-04"
"CTSO",-1.8938,"7.942e-04"
"SLC2A5",-1.8482,"8.479e-04"
"DLK2",3.0191,"8.588e-04"
"ODF2L",-1.7276,"8.758e-04"
"NEU2",-1.8286,"8.819e-04"
"NGEF",-2.7984,"8.919e-04"
"PHOSPHO1",-1.8592,"9.026e-04"
"PLSCR5",-2.6841,"9.097e-04"
"BAALC",3.6588,"9.273e-04"
"SLC35F3",2.0174,"9.284e-04"
"F7",-2.6028,"9.304e-04"
"TRIL",2.184,"9.304e-04"
"PI15",-2.4213,"9.437e-04"
"TRIM25",-1.7488,"9.468e-04"
"APOA4",-2.6806,"9.522e-04"
"PLA1A",-2.957,"9.786e-04"
"SEMA5B",-1.6896,"9.830e-04"
"GLI3",2.0946,"1.003e-03"
"TOM1L2",-1.5806,"1.016e-03"
"LIN28B",1.8362,"1.041e-03"
"C1QL3",3.3499,"1.046e-03"
"FGG",-2.1129,"1.092e-03"
"HABP2",-2.8327,"1.107e-03"
"IQSEC3",1.6496,"1.110e-03"
"STK17A",2.2874,"1.136e-03"
"HPGD",-3.7333,"1.156e-03"
"CLDN2",-4.0373,"1.181e-03"
"ANGPTL3",-2.7563,"1.219e-03"
"SNCB",2.1339,"1.298e-03"
"NMU",4.4657,"1.348e-03"
"HSPA12A",1.5138,"1.369e-03"
"SLC41A3",-1.76,"1.403e-03"
"TMPRSS7",-2.5873,"1.434e-03"
"ADAMTS20",1.5568,"1.440e-03"
"ST6GAL2",1.8786,"1.453e-03"
"AGTPBP1",1.7273,"1.461e-03"
"GUCA1A",-1.5598,"1.484e-03"
"BST1",-2.4068,"1.488e-03"
"SLC37A4",-1.6858,"1.494e-03"
"GPR157",-1.7672,"1.520e-03"
"MASP1",-1.8525,"1.546e-03"
"NKX2-8",2.6294,"1.551e-03"
"CDH20",-2.2433,"1.558e-03"
"FAM124A",2.1653,"1.600e-03"
"SDC3",2.4577,"1.662e-03"
"SOCS2",2.1808,"1.698e-03"
"RASL11B",2.9263,"1.702e-03"
"GPA33",-1.6438,"1.744e-03"
"NFIB",-2.0758,"1.774e-03"
"AQP9",-2.7551,"1.797e-03"
"ARL4C",1.8612,"1.837e-03"
"COL6A2",-1.5287,"1.881e-03"
"CLGN",1.586,"1.884e-03"
"SGK2",-2.5403,"1.913e-03"
"DNER",1.5352,"1.947e-03"
"SFRP4",1.574,"1.968e-03"
"TMEM268",-1.6658,"1.972e-03"
"ST8SIA6",1.809,"2.019e-03"
"PIK3C2G",-1.7324,"2.019e-03"
"CDK18",-1.5747,"2.083e-03"
"CSPG5",1.5919,"2.127e-03"
"CXCL14",-1.6978,"2.224e-03"
"ARHGAP24",-2.3639,"2.242e-03"
"SLC16A2",-2.1392,"2.269e-03"
"TMEM171",1.5061,"2.306e-03"
"WNT4",2.4237,"2.311e-03"
"NCF4",2.1465,"2.401e-03"
"TRPC7",-2.3709,"2.420e-03"
"CDC42EP3",2.15,"2.460e-03"
"BARHL2",3.0215,"2.470e-03"
"HACD4",-3.0222,"2.557e-03"
"RGS9BP",1.8695,"2.647e-03"
"C8B",-1.9922,"2.755e-03"
"FBXO43",1.7176,"2.780e-03"
"NKD1",-1.6147,"3.000e-03"
"VSTM2B",2.271,"3.007e-03"
"TNFRSF11B",-2.1902,"3.035e-03"
"CAPSL",-2.0734,"3.048e-03"
"CENPF",-2.3189,"3.086e-03"
"PTCHD1",1.9269,"3.311e-03"
"PGBD5",1.7436,"3.382e-03"
"RASGEF1A",-1.6286,"3.865e-03"
"ACKR2",-2.2217,"4.043e-03"
"KCNG1",2.1127,"4.106e-03"
"HRH3",2.8323,"4.184e-03"
"DOCK3",2.1548,"4.345e-03"
"CACNG5",3.1871,"4.347e-03"
"TBC1D32",-1.5149,"4.372e-03"
"FGD4",-1.8925,"4.534e-03"
"DCT",-1.687,"4.666e-03"
"ENOX1",-1.5991,"4.666e-03"
"ABLIM1",-1.7492,"5.516e-03"
"MAEL",-1.5719,"5.600e-03"
"BDKRB1",-2.22,"5.610e-03"
"CMTM7",-2.7464,"5.690e-03"
"HTR1B",2.5992,"5.807e-03"
"MME",2.1336,"5.834e-03"
"SYT2",1.835,"6.045e-03"
"NMB",1.8249,"6.193e-03"
"SLC16A12",-1.8789,"6.239e-03"
"HOXB5",-1.9875,"6.354e-03"
"ANKRD34B",2.9437,"6.470e-03"
"ENDOD1",1.6549,"6.544e-03"
"GTF2A1L",-2.099,"6.664e-03"
"MTTPL",-1.887,"6.756e-03"
"MAFA",2.2448,"6.803e-03"
"LINGO1",1.7677,"6.830e-03"
"RGS20",2.3344,"6.910e-03"
"STYK1",-1.852,"6.961e-03"
"ZBTB20",-2.0498,"7.004e-03"
"DOCK9",-1.5849,"7.004e-03"
"OTC",-2.5301,"7.055e-03"
"CLIP2",1.5521,"7.337e-03"
"GRIP1",1.8654,"7.442e-03"
"MATN3",3.7037,"7.693e-03"
"ETV3L",-2.0429,"7.891e-03"
"MFSD4A",-1.6106,"8.000e-03"
"ACSL4",-1.5434,"8.048e-03"
"PLA2G12B",-1.5695,"8.107e-03"
"CCNE1",2.3063,"8.257e-03"
"MOGAT2",-1.5133,"8.629e-03"
"MYOM1",-1.5618,"8.779e-03"
"GPR12",1.7301,"8.812e-03"
"SLC24A3",1.8713,"8.937e-03"
"ADGRG1",1.5546,"9.641e-03"
"STRIP2",1.9738,"1.006e-02"
"SLC38A11",1.5591,"1.034e-02"
"TRAF3IP3",-2.0768,"1.072e-02"
"MGLL",-1.7057,"1.083e-02"
"TMEM86A",-1.9758,"1.100e-02"
"SLC51A",-1.768,"1.106e-02"
"TRIM29",-1.7702,"1.119e-02"
"MYOC",2.2912,"1.135e-02"
"CPEB4",-1.7141,"1.174e-02"
"DGKI",-2.7822,"1.192e-02"
"SPP2",-2.5913,"1.208e-02"
"ELAVL4",1.8371,"1.228e-02"
"RIPK2",1.551,"1.268e-02"
"SLC5A12",-2.8099,"1.312e-02"
"TFPI2",1.5369,"1.334e-02"
"SLC5A9",-1.833,"1.369e-02"
"GAB3",2.1893,"1.370e-02"
"PRICKLE1",2.0528,"1.433e-02"
"LRIG3",1.5864,"1.578e-02"
"ABHD6",-1.7006,"1.666e-02"
"DGKG",2.8013,"1.693e-02"
"RGS14",1.7361,"1.733e-02"
"B3GAT2",1.585,"1.736e-02"
"GPR183",-1.516,"1.809e-02"
"COLEC12",1.7985,"1.843e-02"
"NXNL2",1.7889,"1.847e-02"
"MARCKSL1",2.2498,"1.889e-02"
"SOX6",-2.7091,"1.972e-02"
"RASGRP3",-1.5875,"1.994e-02"
"NR5A2",-1.901,"2.062e-02"
"AGT",-2.8444,"2.084e-02"
"IDH1",-1.6505,"2.137e-02"
"HAAO",-1.907,"2.199e-02"
"CHST1",3.9178,"2.280e-02"
"CHL1",-1.6144,"2.328e-02"
"IL2RB",-1.7568,"2.510e-02"
"CRYBA2",-1.7316,"2.580e-02"
"SH3GL3",2.1092,"2.640e-02"
"CPQ",-1.7076,"2.671e-02"
"HOXD13",1.8699,"2.695e-02"
"MEIS1",2.026,"2.744e-02"
"JAM2",1.7291,"2.844e-02"
"SATB2",2.0729,"3.025e-02"
"GYS2",-1.5022,"3.030e-02"
"MYLK2",2.9685,"3.031e-02"
"NT5C1A",1.6619,"3.080e-02"
"TCTE1",1.7723,"3.082e-02"
"FGL2",2.1987,"3.125e-02"
"RNF122",1.9683,"3.134e-02"
"NIPAL4",-2.1134,"3.311e-02"
"VAT1L",2.0644,"3.315e-02"
"gga-mir-6583",-1.552,"3.605e-02"
"SETBP1",-1.933,"3.611e-02"
"P3H2",1.6508,"3.652e-02"
"gga-mir-6652",-1.778,"3.880e-02"
"ASPHD2",1.751,"3.888e-02"
"SCN8A",-1.8422,"3.957e-02"
"ZBTB7C",2.6596,"4.198e-02"
"TESK1",1.7519,"4.215e-02"
"ASB15",2.0811,"4.222e-02"
"WDR72",-1.6448,"4.271e-02"
"BAG3",1.8052,"4.569e-02"
"KCNC2",2.1471,"4.836e-02"
"PDZRN3",1.5187,"4.926e-02"
"INSC",-1.9864,"4.959e-02"
