"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF704",0.3509,7.0382,6.20730772257717,"4.458e-05","1.281e-04",1.64
"RIDA",-1.0547,6.0159,-6.20399305787825,"4.480e-05","1.287e-04",1.64
"DERL3",1.2781,5.6194,6.19402821897844,"4.548e-05","1.301e-04",1.64
"LEMD3",0.4714,6.5712,6.19065239950894,"4.571e-05","1.307e-04",1.64
"TALDO1",-0.4002,7.2137,-6.19858426078609,"4.517e-05","1.295e-04",1.64
"YDJC",0.5225,4.9123,6.16497834251172,"4.753e-05","1.351e-04",1.64
"MEX3B",-0.6732,5.0716,-6.16970458252113,"4.719e-05","1.343e-04",1.64
"USP30",-0.3483,5.7015,-6.18527928772138,"4.609e-05","1.316e-04",1.64
"BUB1",-0.5908,7.2359,-6.18195326695659,"4.632e-05","1.321e-04",1.64
"ITGB3BP",-0.711,3.8756,-6.14345662230055,"4.910e-05","1.389e-04",1.63
"ILKAP",0.7978,7.0414,6.18375265368957,"4.619e-05","1.318e-04",1.63
"GJC2",1.5784,1.9169,5.8654158237746,"7.532e-05","1.990e-04",1.63
"PGLYRP2",-1.0672,6.6823,-6.21864823507886,"4.382e-05","1.263e-04",1.62
"MYO1C",-0.3952,7.316,-6.19637300242138,"4.532e-05","1.298e-04",1.62
"ZNRF1",0.7089,5.6222,6.19654344984722,"4.531e-05","1.298e-04",1.61
"STEAP3",0.6954,5.0751,6.15111004002452,"4.854e-05","1.375e-04",1.61
"EIF4EBP2",0.696,6.8292,6.22622556918731,"4.332e-05","1.251e-04",1.61
"SLC44A5",-0.6962,5.7608,-6.16346516718803,"4.764e-05","1.353e-04",1.61
"RERG",-1.1452,1.2673,-5.77990372689645,"8.609e-05","2.233e-04",1.61
"TLL1",2.0095,0.7503,5.72457819891039,"9.392e-05","2.407e-04",1.61
"KIAA2013",0.3901,7.2991,6.19516638973503,"4.540e-05","1.299e-04",1.61
"TIMM44",0.3888,7.1946,6.14956486031683,"4.865e-05","1.378e-04",1.6
"RNF145",-0.8983,6.4101,-6.13804258354472,"4.951e-05","1.399e-04",1.59
"DAD1",-0.5023,8.1706,-6.2636189010518,"4.095e-05","1.194e-04",1.59
"C6orf58",2.3703,2.3303,5.76770923662942,"8.776e-05","2.270e-04",1.59
"RPL3L",0.7719,2.2618,5.8799125669616,"7.364e-05","1.956e-04",1.59
"GTF2E1",0.3463,6.6251,6.15706073727539,"4.810e-05","1.365e-04",1.59
"DRAM1",0.6851,2.3798,5.90073276452654,"7.129e-05","1.905e-04",1.58
"MAN2B2",-0.7784,7.1235,-6.20094163003394,"4.501e-05","1.291e-04",1.58
"SIK3",-0.3886,5.3889,-6.13548941633331,"4.970e-05","1.404e-04",1.58
"PRTFDC1",-1.4211,4.7249,-6.10205880022496,"5.230e-05","1.464e-04",1.58
"TMEM185A",0.5284,5.9539,6.1275315910722,"5.031e-05","1.420e-04",1.57
"FH",-0.661,9.677,-6.25213680312458,"4.167e-05","1.211e-04",1.57
"MKS1",0.5512,5.1593,6.12048073357628,"5.085e-05","1.432e-04",1.57
"BTG1",-1.7497,10.0261,-6.27225584071762,"4.042e-05","1.183e-04",1.57
"LRCH2",-0.7241,4.7938,-6.11994208601126,"5.089e-05","1.433e-04",1.57
"gga-mir-3064",-1.032,4.0753,-5.98526498491746,"6.255e-05","1.704e-04",1.57
"CAND2",0.3951,4.8833,6.11478066808738,"5.129e-05","1.441e-04",1.57
"HID1",-1.2059,9.6037,-6.27239264354926,"4.042e-05","1.183e-04",1.57
"BRD2",0.4731,8.4387,6.15216267016471,"4.846e-05","1.373e-04",1.56
"CDCA3",0.5208,6.8062,6.20332234138391,"4.485e-05","1.288e-04",1.56
"PAK1IP1",0.5233,7.4527,6.16787562228241,"4.732e-05","1.346e-04",1.56
"CDC23",-0.4499,5.4444,-6.10522613360054,"5.205e-05","1.459e-04",1.56
"APOOL",-0.5562,6.0298,-6.11895981632403,"5.097e-05","1.434e-04",1.56
"CDC45",0.5782,7.1846,6.14232433282132,"4.919e-05","1.391e-04",1.55
"XPNPEP2",-0.4246,6.3055,-6.17492173985845,"4.682e-05","1.333e-04",1.55
"PRC1",-0.6296,6.8125,-6.15268842551348,"4.842e-05","1.373e-04",1.55
"STK4",0.3381,7.8255,6.15242746692404,"4.844e-05","1.373e-04",1.55
"MAPKAPK3",1.1524,3.8644,6.03684706236046,"5.778e-05","1.592e-04",1.55
"SLC30A4",-0.5128,8.6828,-6.201157735288,"4.499e-05","1.291e-04",1.55
"GARNL3",-0.4551,5.3233,-6.09437550092798,"5.292e-05","1.478e-04",1.54
"OSER1",0.5899,6.4135,6.11780151332422,"5.106e-05","1.436e-04",1.54
"AACS",-0.6802,6.8544,-6.12076549900488,"5.083e-05","1.432e-04",1.54
"DOLK",-0.7184,4.4514,-6.08225023501324,"5.390e-05","1.502e-04",1.53
"GFPT1",-0.4402,7.6163,-6.12685648129699,"5.036e-05","1.420e-04",1.53
"MED22",0.663,6.3173,6.1272672772245,"5.033e-05","1.420e-04",1.53
"HBS1L",0.4008,6.2885,6.07350175234903,"5.463e-05","1.518e-04",1.53
"SPATA4",2.5417,2.0584,5.73255910726906,"9.275e-05","2.381e-04",1.52
"MRPL46",0.7469,6.2805,6.09833269110697,"5.260e-05","1.472e-04",1.52
"BIN1",0.5554,5.5335,6.09547064780271,"5.283e-05","1.477e-04",1.51
"NCDN",0.5459,6.1253,6.09576778432735,"5.280e-05","1.477e-04",1.51
"UVRAG",-0.3689,4.7297,-6.08465940959227,"5.371e-05","1.497e-04",1.51
"TRIP11",-0.5835,5.7773,-6.06963922184228,"5.495e-05","1.526e-04",1.51
"CLCC1",-0.587,5.9046,-6.1078862401653,"5.184e-05","1.454e-04",1.51
"BCL7B",0.5303,5.9568,6.09104402098604,"5.318e-05","1.485e-04",1.5
"SFMBT2",0.5986,2.0823,5.91375905857887,"6.986e-05","1.873e-04",1.5
"DNAJC7",0.3431,7.4167,6.09097226599183,"5.319e-05","1.485e-04",1.5
"POLE4",1.103,4.5126,6.05439610869953,"5.625e-05","1.556e-04",1.5
"GPSM2",-0.734,6.6547,-6.11125080429165,"5.157e-05","1.447e-04",1.49
"MEAF6",0.542,5.65,6.08496394502507,"5.368e-05","1.497e-04",1.49
"HAUS1",0.5607,5.491,6.08806750472211,"5.343e-05","1.491e-04",1.49
"HPGD",-4.3901,0.549,-5.57894882379158,"1.184e-04","2.944e-04",1.49
"C1orf50",0.3828,5.5921,6.08471284572838,"5.370e-05","1.497e-04",1.48
"TMEM251",0.5128,5.8406,6.09464010652292,"5.289e-05","1.478e-04",1.48
"BTBD10",0.3761,5.0835,6.05188213732281,"5.647e-05","1.560e-04",1.48
"NDUFAF6",0.5376,5.7859,6.08491376834892,"5.368e-05","1.497e-04",1.48
"E4F1",0.4783,5.9995,6.07508900317241,"5.450e-05","1.516e-04",1.47
"NME6",0.6158,4.5886,6.05743838423808,"5.599e-05","1.551e-04",1.47
"MTHFD2",1.2197,6.7589,6.07845389774216,"5.422e-05","1.509e-04",1.47
"SYPL1",-0.3908,5.0921,-6.06817037696908,"5.508e-05","1.528e-04",1.46
"KTN1",-0.492,7.7265,-6.07835102845861,"5.423e-05","1.509e-04",1.46
"CAPSL",-2.4161,1.068,-5.57702101757223,"1.187e-04","2.949e-04",1.46
"DLG5",-0.3599,5.2313,-6.04861853675785,"5.675e-05","1.566e-04",1.46
"CTSA",-0.5208,7.3494,-6.1431799938045,"4.913e-05","1.389e-04",1.46
