"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLK3",2.3164,4.6507,28.2981622664463,"2.174e-12","1.092e-08",18.85
"CDT1",1.3387,7.4134,27.798158938264,"2.686e-12","1.092e-08",18.75
"DONSON",1.6543,4.5109,26.5176739313672,"4.701e-12","1.092e-08",18.15
"RGS7BP",2.926,3.4592,26.2966893844001,"5.191e-12","1.092e-08",17.88
"CCNE2",2.1572,6.3038,24.8820354523606,"9.994e-12","1.572e-08",17.43
"RFTN1",1.8902,4.7764,24.3539499449356,"1.288e-11","1.572e-08",17.2
"MYBL2",1.3229,6.5574,24.1453335468013,"1.426e-11","1.572e-08",17.11
"CCNO",1.8839,4.7886,24.0258281380027,"1.512e-11","1.572e-08",17.04
"RNF208",2.2339,4.8382,23.8107703053657,"1.682e-11","1.572e-08",16.94
"MCM10",1.2536,5.8041,23.4990947541717,"1.965e-11","1.653e-08",16.8
"HSPH1",1.4671,7.1811,23.0543315296373,"2.462e-11","1.829e-08",16.57
"MAD2L1BP",2.022,6.333,22.9414830396196,"2.609e-11","1.829e-08",16.53
"DUSP4",1.9609,5.097,22.7551397272774,"2.872e-11","1.859e-08",16.43
"RRM2",1.3411,7.9205,22.5331804746377,"3.224e-11","1.928e-08",16.33
"NMRK2",2.7816,3.7482,22.4106847374242,"3.438e-11","1.928e-08",16.23
"HEY1",1.4547,5.062,22.2233839527995,"3.795e-11","1.996e-08",16.15
"ARL9",1.0846,5.3954,21.7898939825841,"4.786e-11","2.369e-08",15.93
"SETD6",1.4643,7.1602,21.664562968314,"5.122e-11","2.394e-08",15.87
"CDC25A",1.5932,6.77,21.2379159749797,"6.473e-11","2.502e-08",15.63
"NOC2L",1.034,8.6328,21.1636975737578,"6.744e-11","2.502e-08",15.59
"TP73",1.5153,4.2107,21.150610115417,"6.794e-11","2.502e-08",15.58
"DCLRE1B",2.0614,4.0991,21.1570065312571,"6.770e-11","2.502e-08",15.57
"SNX10",1.3777,4.1539,21.1303560543422,"6.871e-11","2.502e-08",15.57
"CENPF",-3.2071,4.597,-20.9688169648178,"7.519e-11","2.502e-08",15.48
"PPRC1",1.2059,6.5206,20.769515754751,"8.412e-11","2.502e-08",15.37
"TRPC7",-3.879,2.9979,-20.7667143747081,"8.425e-11","2.502e-08",15.34
"KCNG1",3.0488,2.7175,20.7711012596895,"8.404e-11","2.502e-08",15.32
"GINS2",1.8028,5.7443,20.6659549428234,"8.920e-11","2.502e-08",15.32
"RHOF",2.1374,3.1968,20.7600008371719,"8.457e-11","2.502e-08",15.31
"GBX2",3.7148,3.4207,20.7075481688424,"8.712e-11","2.502e-08",15.29
"AATF",1.2057,5.9852,20.5604700940193,"9.472e-11","2.571e-08",15.25
"SHISA2",1.7303,6.4012,20.464795440093,"1.001e-10","2.604e-08",15.2
"TOE1",1.1149,5.9039,20.4289677327885,"1.021e-10","2.604e-08",15.18
"WDR3",1.1794,7.2086,19.8666996114191,"1.417e-10","3.421e-08",14.85
"GPAT2",1.8987,3.2837,19.7652138974698,"1.504e-10","3.421e-08",14.79
"TPH2",1.9285,2.9622,19.7688919472267,"1.501e-10","3.421e-08",14.77
"SYT11",2.7659,4.3437,19.6500567104221,"1.611e-10","3.534e-08",14.73
"TNFRSF21",1.4408,6.8063,19.5614214446331,"1.698e-10","3.534e-08",14.67
"NKX6-1",4.0073,3.1111,19.8029324586903,"1.471e-10","3.421e-08",14.67
"TCFL5",1.7593,4.1417,19.5383963145257,"1.722e-10","3.534e-08",14.66
"RBM38",1.9069,5.8696,19.5262425865486,"1.735e-10","3.534e-08",14.65
"RFX2",2.3857,3.3037,19.4797839299638,"1.784e-10","3.534e-08",14.62
"NKX6-2",2.0998,4.9099,19.4389743800068,"1.828e-10","3.534e-08",14.6
"HSPA14",0.9396,7.2628,19.4207552620856,"1.848e-10","3.534e-08",14.58
"FAM60A",1.2143,7.5109,18.7272784260987,"2.827e-10","5.285e-08",14.16
"ADCY9",1.0747,6.0488,18.5317222731646,"3.195e-10","5.619e-08",14.04
"BTG2",-1.0118,7.1376,-18.6394657816726,"2.986e-10","5.462e-08",14.03
"CHTF8",1.4372,5.9962,18.4495205071045,"3.365e-10","5.619e-08",13.99
"SLC16A3",3.0916,4.7163,18.4418626680418,"3.382e-10","5.619e-08",13.99
"LMBR1L",1.0592,4.8059,18.4451073548522,"3.375e-10","5.619e-08",13.98
"TAF5L",0.9648,6.7583,18.4306583273682,"3.406e-10","5.619e-08",13.97
"RGS9BP",2.7245,4.9321,18.3057799843156,"3.687e-10","5.745e-08",13.9
"CACNA1S",3.5439,2.5885,18.3478190271047,"3.589e-10","5.698e-08",13.9
"GPR75",1.6274,4.2845,18.2405564225352,"3.843e-10","5.802e-08",13.86
"JMJD6",2.076,5.2446,18.2276527549854,"3.875e-10","5.802e-08",13.85
"MYOM1",-2.2643,3.2025,-18.2054137711583,"3.931e-10","5.802e-08",13.83
"KIF1A",1.5223,3.8725,18.1466922012314,"4.082e-10","5.921e-08",13.8
"PABPN1L",4.055,2.5906,18.3512002585576,"3.582e-10","5.698e-08",13.78
"SH3BP2",-2.2174,3.7094,-18.0653947821706,"4.301e-10","6.070e-08",13.75
"BORCS5",1.4101,5.0998,18.0262594836493,"4.411e-10","6.070e-08",13.72
"MMP23B",-1.8768,5.3099,-18.012288797036,"4.451e-10","6.070e-08",13.7
"LRRC8C",1.8799,4.9665,17.9867588972672,"4.525e-10","6.070e-08",13.69
"SLC35G1",1.7511,4.3733,17.9799356332043,"4.545e-10","6.070e-08",13.69
"KIF5C",1.0327,6.6481,17.9100305047693,"4.756e-10","6.185e-08",13.64
"PARPBP",-1.4502,3.6706,-17.8808705346169,"4.847e-10","6.185e-08",13.63
"ALB",-1.5623,4.5135,-17.8793676575354,"4.852e-10","6.185e-08",13.62
"CDON",1.2615,4.2,17.8476156275744,"4.953e-10","6.220e-08",13.6
"MRM1",1.632,4.5228,17.7907554274807,"5.141e-10","6.361e-08",13.56
"SOBP",1.3393,3.5642,17.7573926806362,"5.254e-10","6.387e-08",13.55
"OTUD7A",1.6185,3.0848,17.7011849623147,"5.451e-10","6.460e-08",13.51
"DDX27",0.8652,8.3686,17.7402417672857,"5.313e-10","6.387e-08",13.5
"PPP1R3B",-1.8977,5.3548,-17.6640241219631,"5.586e-10","6.479e-08",13.47
"GPATCH3",1.9597,4.6637,17.6370392818017,"5.687e-10","6.479e-08",13.46
"KIF18A",-1.5149,5.3135,-17.6303086515013,"5.712e-10","6.479e-08",13.45
"GINS1",1.7888,4.624,17.6135163926545,"5.776e-10","6.479e-08",13.44
"CDH20",-3.6164,4.2856,-17.4643263804341,"6.376e-10","6.967e-08",13.35
"NFATC1",1.1852,5.1685,17.4713084319174,"6.346e-10","6.967e-08",13.35
"BRPF1",1.3338,5.1117,17.3512791742385,"6.876e-10","7.279e-08",13.27
"SLC23A1",-2.2913,2.4252,-17.3200886439676,"7.021e-10","7.279e-08",13.24
"AQP9",-4.2966,3.9031,-17.263492540242,"7.293e-10","7.279e-08",13.22
"F5",-1.8435,5.6647,-17.2888251859625,"7.170e-10","7.279e-08",13.22
"RGS20",3.8062,2.4784,17.2509153900746,"7.355e-10","7.279e-08",13.21
"BBOF1",-1.5782,4.1064,-17.2405059101371,"7.407e-10","7.279e-08",13.2
"CECR2",1.9001,5.1213,17.2346861976938,"7.436e-10","7.279e-08",13.19
"USP12",-1.1242,5.092,-17.2412964161941,"7.403e-10","7.279e-08",13.19
"CCND2",-1.0074,6.5981,-17.2338248284356,"7.440e-10","7.279e-08",13.18
"SH3GL3",3.1409,2.4528,17.156894569506,"7.837e-10","7.569e-08",13.14
"ARL4C",2.7655,4.2198,17.1307775951675,"7.976e-10","7.569e-08",13.12
"POLR1B",1.0024,6.9609,17.1087688921112,"8.096e-10","7.569e-08",13.09
"ARRDC3",-1.3165,4.9308,-17.0918613490286,"8.190e-10","7.572e-08",13.09
"TNFSF10",-1.6313,6.9636,-17.116038509453,"8.057e-10","7.569e-08",13.07
"CBFB",0.9075,7.1743,17.0048281870675,"8.690e-10","7.947e-08",13.02
"ALCAM",-1.4301,4.9973,-16.9205145487922,"9.205e-10","8.328e-08",12.97
"FEN1",1.2158,7.2944,16.8720737437957,"9.516e-10","8.518e-08",12.93
"KCNK12",2.679,4.0007,16.782039859076,"1.013e-09","8.968e-08",12.89
"DNAJC12",-1.4058,5.4242,-16.7641267288138,"1.025e-09","8.985e-08",12.86
"PPP2R2B",2.1704,3.479,16.6605568397621,"1.101e-09","9.361e-08",12.81
"MSH6",0.8964,7.2964,16.7026248880686,"1.070e-09","9.279e-08",12.81
"PRKG2",-1.7509,3.8314,-16.5965181902631,"1.152e-09","9.594e-08",12.77
"HMOX1",-1.0633,6.3305,-16.6724074596084,"1.092e-09","9.361e-08",12.76
"LGI2",1.0559,3.6176,16.587155003682,"1.159e-09","9.594e-08",12.75
"CLCF1",1.0248,6.9539,16.5823519071605,"1.163e-09","9.594e-08",12.72
"ABCB11",-0.9236,3.6514,-16.5262395477849,"1.210e-09","9.881e-08",12.71
"TBC1D32",-1.9377,3.2763,-16.418602906501,"1.305e-09","1.027e-07",12.65
"AATK",2.4242,3.5428,16.4165673817508,"1.307e-09","1.027e-07",12.63
"UCKL1",1.0015,5.3187,16.4174056597737,"1.306e-09","1.027e-07",12.61
"CENPL",1.1004,5.9726,16.3740269596295,"1.346e-09","1.049e-07",12.58
"SLC25A14",1.492,5.5319,16.3592729595438,"1.360e-09","1.050e-07",12.58
"COL9A2",1.711,3.7682,16.2973703738941,"1.421e-09","1.077e-07",12.54
"IL13RA1",-1.3562,4.4033,-16.2791524434752,"1.440e-09","1.082e-07",12.53
"PDXP",1.2375,6.0498,16.3089749336766,"1.410e-09","1.077e-07",12.52
"SDC1",-0.8933,8.1345,-16.4400364891612,"1.285e-09","1.027e-07",12.51
"NWD2",1.9347,4.0764,16.2294219619862,"1.492e-09","1.101e-07",12.48
"LAMA1",3.5856,2.4229,16.1407214530849,"1.589e-09","1.143e-07",12.45
"GMNN",1.4548,6.9633,16.2063044100725,"1.517e-09","1.110e-07",12.45
"DBX2",3.3407,1.7571,16.248564478703,"1.472e-09","1.096e-07",12.44
"ROR1",1.5185,3.2062,16.1446189471863,"1.585e-09","1.143e-07",12.43
"TRIM9",1.5592,4.4423,16.0706761477325,"1.671e-09","1.178e-07",12.37
"SNAPC4",0.8666,5.0864,16.0517529127354,"1.694e-09","1.178e-07",12.36
"NEGR1",-1.1098,5.1021,-16.0574688754449,"1.687e-09","1.178e-07",12.35
"ADCY1",-2.9255,4.0766,-15.9929838952353,"1.767e-09","1.211e-07",12.32
"CCM2",0.8347,6.7215,16.0615216252351,"1.682e-09","1.178e-07",12.32
"SLC24A3",2.9763,1.9637,15.9767121485307,"1.788e-09","1.211e-07",12.31
"TRERF1",1.0539,4.987,15.9848105765495,"1.778e-09","1.211e-07",12.3
"ELP2",1.034,6.8914,15.9613328078602,"1.808e-09","1.211e-07",12.28
"PRELID3A",1.4981,7.1196,15.9570262034706,"1.814e-09","1.211e-07",12.27
"TRIL",3.3083,2.8528,15.8667328214998,"1.937e-09","1.234e-07",12.25
"TRAIP",1.0574,5.5987,15.9060879728866,"1.882e-09","1.226e-07",12.25
"HS1BP3",-1.4561,4.9724,-15.915186025949,"1.870e-09","1.226e-07",12.25
"PLEKHG1",-2.5464,4.5386,-15.8869710984624,"1.908e-09","1.226e-07",12.24
"CLGN",2.0835,4.4762,15.8910617848761,"1.903e-09","1.226e-07",12.24
"COX11",1.2719,5.4833,15.9126886180064,"1.873e-09","1.226e-07",12.24
"GPR12",2.3369,3.4943,15.8293187285419,"1.990e-09","1.240e-07",12.22
"DUSP6",2.0687,3.7528,15.8520636415196,"1.957e-09","1.238e-07",12.22
"PIM1",2.1872,4.4529,15.8347449707719,"1.982e-09","1.240e-07",12.19
"MYOC",3.7232,2.8226,15.7612537351396,"2.091e-09","1.263e-07",12.18
"PANX1",1.4025,3.7012,15.7937655273782,"2.042e-09","1.254e-07",12.18
"FZD4",2.2246,3.3421,15.754539146199,"2.102e-09","1.263e-07",12.16
"MYD88",1.0896,5.8503,15.774403784849,"2.071e-09","1.263e-07",12.14
"AGT",-4.9052,2.3182,-15.6607822868453,"2.251e-09","1.289e-07",12.1
"P2RY4",-0.963,5.7105,-15.7279005988149,"2.143e-09","1.279e-07",12.09
"BPNT1",-1.2474,4.8366,-15.6838567938833,"2.214e-09","1.289e-07",12.08
"POMK",1.3243,4.8919,15.679515299828,"2.221e-09","1.289e-07",12.07
"ZMYND19",1.2013,6.234,15.6839085572086,"2.213e-09","1.289e-07",12.07
"TRHDE",-1.9756,4.8493,-15.6695570581466,"2.237e-09","1.289e-07",12.07
"DESI2",0.8726,6.6296,15.6927251994935,"2.199e-09","1.289e-07",12.07
"RASGRP3",-2.5381,3.0929,-15.6165261307635,"2.326e-09","1.314e-07",12.06
"HAL",-1.3408,4.2762,-15.6105995702172,"2.336e-09","1.314e-07",12.04
"CYP1B1",5.3037,2.3257,15.8085091535271,"2.020e-09","1.250e-07",12.03
"PCDH18",2.4861,2.6516,15.5677788011669,"2.411e-09","1.344e-07",12.02
"POGLUT1",0.9372,6.8816,15.6074032325196,"2.342e-09","1.314e-07",11.99
"ST6GAL2",2.6321,3.2197,15.4984619762293,"2.538e-09","1.368e-07",11.99
"IGFBP2",1.9183,3.1458,15.4839668557882,"2.566e-09","1.368e-07",11.98
"PALD1",1.8843,3.8834,15.5357831395516,"2.469e-09","1.367e-07",11.97
"KLB",-3.7279,3.5242,-15.4651210394962,"2.602e-09","1.368e-07",11.96
"PDZRN3",2.5289,2.9496,15.4665358628553,"2.599e-09","1.368e-07",11.96
"LIMK1",2.5643,3.262,15.4657608081204,"2.601e-09","1.368e-07",11.94
"ZNF462",-2.2064,4.6254,-15.48964721541,"2.555e-09","1.368e-07",11.94
"RAD54L",0.9941,5.5233,15.4670479349146,"2.598e-09","1.368e-07",11.91
"SLCO2A1",-1.5497,6.535,-15.4973642732891,"2.541e-09","1.368e-07",11.88
"URB2",1.1022,5.637,15.422496947766,"2.686e-09","1.404e-07",11.88
"KLF11",1.2933,6.2267,15.3958717523386,"2.740e-09","1.423e-07",11.85
"SLC16A2",-3.3043,4.0438,-15.3415627958104,"2.854e-09","1.464e-07",11.85
"COX16",1.1899,4.0895,15.3765684361208,"2.780e-09","1.435e-07",11.85
"SLC29A1",1.121,6.567,15.3164303546889,"2.908e-09","1.483e-07",11.77
"LHX4",2.8945,2.948,15.1921850493037,"3.194e-09","1.574e-07",11.75
"TLR3",-2.3178,3.5403,-15.2117920538512,"3.147e-09","1.574e-07",11.75
"RGS10",2.0317,3.9411,15.2369335998656,"3.087e-09","1.565e-07",11.74
"SERPINC1",-2.2844,3.6888,-15.2258829784063,"3.113e-09","1.569e-07",11.74
"SNX19",1.2635,3.5801,15.2009089885635,"3.173e-09","1.574e-07",11.72
"IGDCC3",1.7607,4.5194,15.1806448138888,"3.222e-09","1.576e-07",11.69
"DPH2",1.106,5.3192,15.1896387255753,"3.200e-09","1.574e-07",11.69
"IQSEC3",2.0909,2.0235,15.1066215952033,"3.408e-09","1.629e-07",11.68
"LINGO1",2.7394,3.2322,15.0615054415959,"3.527e-09","1.677e-07",11.65
"PAPD7",1.0036,6.9689,15.1223875770839,"3.367e-09","1.622e-07",11.64
"NMUR1",2.5171,1.8829,15.0187632363752,"3.644e-09","1.720e-07",11.63
"VAV2",-1.1958,6.0214,-15.1197021238909,"3.374e-09","1.622e-07",11.61
"GORASP1",-0.9094,7.1469,-15.1379067565811,"3.328e-09","1.618e-07",11.59
"PTCHD1",2.9557,2.9692,14.9599568764895,"3.812e-09","1.771e-07",11.58
"IFIH1",-2.1298,4.0964,-14.9997977395937,"3.697e-09","1.728e-07",11.57
"KPNA6",0.7588,6.6854,15.0132579831924,"3.659e-09","1.720e-07",11.54
"SFRP4",2.0495,2.5052,14.9103807968223,"3.960e-09","1.791e-07",11.54
"CNTNAP5",-2.6769,4.6414,-14.9534082690563,"3.831e-09","1.771e-07",11.52
"THBS1",2.3573,3.9607,14.9314577121457,"3.896e-09","1.782e-07",11.5
"DENND4C",-3.117,5.1661,-14.9349010000487,"3.886e-09","1.782e-07",11.5
"VAV3",-1.5611,5.9656,-14.9148244013756,"3.946e-09","1.791e-07",11.46
"GRK5",-2.5704,4.9225,-14.8858447761365,"4.035e-09","1.803e-07",11.46
"PCNT",-1.4108,5.8945,-14.8745268537492,"4.070e-09","1.803e-07",11.46
"CHIC1",1.5509,5.2275,14.8800310303942,"4.053e-09","1.803e-07",11.45
"ORC1",0.9518,4.8994,14.8754674896144,"4.068e-09","1.803e-07",11.45
"SLC9A7",1.7827,3.2077,14.7969993665781,"4.322e-09","1.855e-07",11.44
"ZNF365",1.2467,6.4289,14.8531956657068,"4.138e-09","1.823e-07",11.43
"SNAPC1",0.9914,5.6776,14.8356153308979,"4.195e-09","1.832e-07",11.41
"FAM46A",-1.1322,5.6433,-14.8236823842671,"4.233e-09","1.836e-07",11.4
"SDR16C5",-1.2188,3.7682,-14.7738557753468,"4.400e-09","1.863e-07",11.39
"PRKCA",-1.1668,5.6404,-14.7979372964314,"4.319e-09","1.855e-07",11.38
"SEMA4G",-0.86,6.332,-14.8332768698373,"4.202e-09","1.832e-07",11.37
"BCL2",-1.2593,3.1728,-14.7199722910689,"4.588e-09","1.930e-07",11.35
"RBM48",0.9321,5.0884,14.6998925206201,"4.661e-09","1.942e-07",11.32
"CIAPIN1",0.918,7.5022,14.6856766493094,"4.713e-09","1.953e-07",11.31
"KCNQ4",2.5379,2.4486,14.5966552036682,"5.052e-09","2.034e-07",11.3
"CLIP2",2.3103,3.3831,14.6203599584786,"4.959e-09","2.006e-07",11.29
"PDCD4",-0.7985,7.2319,-14.7761542018879,"4.392e-09","1.863e-07",11.28
"AR",-1.4036,5.6508,-14.6707412278165,"4.768e-09","1.957e-07",11.28
"NR4A2",2.9008,3.5027,14.6272751270005,"4.933e-09","2.005e-07",11.28
"GPD2",0.8137,6.9121,14.6779565552791,"4.741e-09","1.955e-07",11.27
"TFCP2",0.7971,7.8434,14.6992182581596,"4.663e-09","1.942e-07",11.27
"CCDC85A",4.4444,2.0431,14.58327599829,"5.106e-09","2.036e-07",11.26
"SRM",0.8026,9.0324,14.7719230473321,"4.407e-09","1.863e-07",11.25
"LBH",2.8124,3.9789,14.5853673551664,"5.097e-09","2.036e-07",11.24
"GLI3",3.1782,1.8094,14.5244652039537,"5.347e-09","2.076e-07",11.23
"C5",-1.7247,6.5164,-14.6530909196106,"4.834e-09","1.974e-07",11.22
"FAM43A",3.3689,4.3357,14.5228909529183,"5.354e-09","2.076e-07",11.19
"FOXO1",-1.8405,4.7375,-14.5448891935678,"5.262e-09","2.076e-07",11.19
"SLC25A38",1.713,5.3539,14.5249769261411,"5.345e-09","2.076e-07",11.16
"CITED4",-1.2386,5.7359,-14.5489422299986,"5.245e-09","2.076e-07",11.15
"C25H1ORF43",1.1208,6.8022,14.474416217596,"5.563e-09","2.142e-07",11.13
"IBA57",0.9641,5.7878,14.4716545828825,"5.575e-09","2.142e-07",11.13
"CNTF",-1.4029,5.9364,-14.5382381639694,"5.290e-09","2.076e-07",11.13
"DNAJB5",1.9683,4.3193,14.4569316148987,"5.640e-09","2.147e-07",11.12
"SERINC4",1.595,4.7746,14.4613045083539,"5.621e-09","2.147e-07",11.12
"RAPGEF4",1.3902,3.3486,14.3969478157118,"5.915e-09","2.212e-07",11.1
"KCNB2",-3.618,3.8805,-14.3523064193002,"6.129e-09","2.272e-07",11.07
"LGR4",-0.8752,5.3062,-14.4227930345437,"5.795e-09","2.196e-07",11.07
"TMCC1",1.058,5.1794,14.3966118998021,"5.916e-09","2.212e-07",11.06
"KCTD3",0.8009,6.3489,14.4005953387183,"5.898e-09","2.212e-07",11.04
"CRKL",1.2392,6.0788,14.3758529832607,"6.015e-09","2.239e-07",11.03
"CDK5R1",3.0246,2.0378,14.2741267261038,"6.523e-09","2.376e-07",11.01
"INTS7",0.6987,6.5693,14.3385844203638,"6.196e-09","2.287e-07",11
"EME1",0.8193,5.935,14.3032303570758,"6.373e-09","2.342e-07",11
"SEC14L1",1.0609,3.7081,14.2600859194975,"6.597e-09","2.382e-07",10.96
"ADGRL2",-1.1689,5.5378,-14.2609432228716,"6.592e-09","2.382e-07",10.96
"MASP1",-2.6682,4.2956,-14.2306422167768,"6.755e-09","2.408e-07",10.95
"FOXRED2",1.0222,5.9693,14.2916843672193,"6.432e-09","2.353e-07",10.95
"MME",3.3631,1.9495,14.1494730592316,"7.210e-09","2.485e-07",10.95
"SLC35F3",2.7057,1.8028,14.2026113406115,"6.908e-09","2.436e-07",10.95
"SMOC1",-1.9497,4.882,-14.2341453823965,"6.736e-09","2.408e-07",10.93
"NIPAL4",-3.4189,3.0668,-14.1206768214378,"7.380e-09","2.514e-07",10.93
"DNAJC18",1.1131,6.3751,14.2494877483715,"6.653e-09","2.392e-07",10.92
"FZD9",1.6245,5.1619,14.2082388309982,"6.877e-09","2.436e-07",10.9
"FUT11",1.5503,5.7071,14.190764137876,"6.974e-09","2.445e-07",10.88
"GABBR2",-1.4222,3.508,-14.1448491319241,"7.237e-09","2.485e-07",10.88
"ORAI1",1.0891,5.4359,14.1573197312498,"7.165e-09","2.483e-07",10.87
"SEMA6A",-1.3918,4.8286,-14.1563855373977,"7.170e-09","2.483e-07",10.86
"PRKAA2",-1.2883,3.695,-14.1221231324829,"7.371e-09","2.514e-07",10.86
"ACYP1",1.152,6.5447,14.2006690274815,"6.919e-09","2.436e-07",10.86
"REEP1",2.0027,2.587,14.0780073959691,"7.639e-09","2.573e-07",10.86
"LNPK",0.9944,6.0815,14.1689694135408,"7.098e-09","2.478e-07",10.86
"AQP11",-1.5449,3.7513,-14.0440799445976,"7.852e-09","2.622e-07",10.84
"CABLES2",1.0748,3.0217,14.0206694097211,"8.003e-09","2.628e-07",10.83
"GRIP1",2.7693,2.7881,13.9863384048848,"8.230e-09","2.647e-07",10.81
"AP5M1",1.4977,5.7066,14.0899838273012,"7.565e-09","2.567e-07",10.8
"EOMES",6.2307,2.8297,13.9784405834184,"8.283e-09","2.647e-07",10.8
"IQCH",-1.2602,2.7863,-13.9844199615504,"8.243e-09","2.647e-07",10.8
"TSC22D2",0.9385,6.6376,14.0704803209596,"7.686e-09","2.576e-07",10.78
"BDKRB2",-2.5833,3.7319,-13.9593756002026,"8.413e-09","2.651e-07",10.78
"TIE1",-1.3645,3.8472,-14.0110530976811,"8.066e-09","2.630e-07",10.75
"RASEF",1.4074,4.1411,13.9918303364818,"8.193e-09","2.647e-07",10.74
"MET",-1.0617,6.7813,-14.0168273210637,"8.028e-09","2.628e-07",10.73
"RIT1",1.129,7.8718,14.0309131368569,"7.937e-09","2.628e-07",10.73
"PTGS2",1.6997,2.2318,13.9020127341718,"8.817e-09","2.727e-07",10.73
"MCAM",-1.0174,5.068,-13.9942186078486,"8.177e-09","2.647e-07",10.72
"SLC27A4",0.8214,7.0217,14.0315798157148,"7.932e-09","2.628e-07",10.72
"GFPT2",-1.4427,6.545,-14.0237632208598,"7.983e-09","2.628e-07",10.72
"DUT",0.8807,6.3109,13.9602159717859,"8.407e-09","2.651e-07",10.72
"RNF2",1.9287,5.1424,13.9750213039989,"8.306e-09","2.647e-07",10.71
"SDR42E1",-1.668,4.6348,-13.9490164520884,"8.484e-09","2.664e-07",10.71
"PLEKHO1",1.3011,2.4676,13.8824034987103,"8.960e-09","2.761e-07",10.69
"IL17RD",1.5373,5.0588,13.9405092327523,"8.543e-09","2.668e-07",10.69
"MTMR6",0.8615,5.7463,13.9380279396765,"8.561e-09","2.668e-07",10.68
"F2RL1",-2.7127,4.2609,-13.8703645469641,"9.049e-09","2.779e-07",10.68
"COBL",-1.5136,5.239,-13.9158707208237,"8.717e-09","2.707e-07",10.66
"CCT5",0.6767,10.5291,14.0772733538353,"7.644e-09","2.573e-07",10.65
"DPF3",-1.5238,3.1436,-13.8185409797881,"9.443e-09","2.868e-07",10.64
"DRD1",-2.6379,2.5976,-13.7606247395112,"9.905e-09","2.976e-07",10.63
"PDDC1",0.9425,4.7918,13.8546310707923,"9.166e-09","2.794e-07",10.62
"NET1",-1.0074,7.1974,-13.8646879769128,"9.091e-09","2.782e-07",10.56
"BAMBI",-1.3333,7.1051,-13.960492142466,"8.405e-09","2.651e-07",10.55
"TAF1B",1.0585,5.8341,13.7640787139816,"9.877e-09","2.976e-07",10.54
"TOX2",-1.2595,5.2965,-13.793914718882,"9.636e-09","2.917e-07",10.54
"LRRK1",-1.9073,3.902,-13.7490569686226,"1.000e-08","2.984e-07",10.54
"MC5R",-3.3071,3.4299,-13.6329550716437,"1.101e-08","3.173e-07",10.52
"DIO2",-2.0507,6.2543,-13.7436704801816,"1.004e-08","2.987e-07",10.51
"PLEK",1.408,3.434,13.6460020071268,"1.089e-08","3.172e-07",10.5
"LONRF3",0.7795,7.2934,13.7513974335762,"9.981e-09","2.984e-07",10.49
"GLE1",0.7627,7.1122,13.7169152723474,"1.027e-08","3.043e-07",10.47
"ERCC6L",0.8486,6.0977,13.6833778487382,"1.056e-08","3.114e-07",10.47
"PIK3C2G",-2.4746,3.3477,-13.5550702254647,"1.175e-08","3.279e-07",10.46
"USP1",0.7468,7.0568,13.6780942022293,"1.061e-08","3.114e-07",10.46
"ING2",1.2892,5.1222,13.6764968350194,"1.062e-08","3.114e-07",10.45
"CHST11",2.4138,2.241,13.5535087888586,"1.177e-08","3.279e-07",10.45
"SCNN1G",1.8341,3.4626,13.6256474964246,"1.108e-08","3.182e-07",10.45
"COL9A3",1.8402,3.1954,13.5994105068506,"1.133e-08","3.230e-07",10.44
"AKAP12",2.0827,4.3641,13.639328931047,"1.095e-08","3.173e-07",10.43
"COL18A1",-1.5244,6.5981,-13.6532363749508,"1.083e-08","3.163e-07",10.42
"ADAMTS20",1.9847,4.1051,13.5861491363637,"1.145e-08","3.238e-07",10.39
"WDR91",1.0581,6.5419,13.6017970530725,"1.130e-08","3.230e-07",10.39
"IRF2",-1.8224,5.7241,-13.5843978967546,"1.147e-08","3.238e-07",10.37
"ADAM10",-0.9812,6.9331,-13.5908346649432,"1.141e-08","3.238e-07",10.37
"SLC40A1",-1.6103,7.7769,-13.6334254578476,"1.101e-08","3.173e-07",10.37
"BNIP1",1.2432,5.2044,13.5694720951625,"1.161e-08","3.257e-07",10.36
"UTP23",1.5317,5.6371,13.5762282511484,"1.155e-08","3.249e-07",10.35
"IQCB1",-1.3423,3.8561,-13.5194198193536,"1.211e-08","3.363e-07",10.35
"STRIP2",3.1446,2.4743,13.3834265686582,"1.358e-08","3.628e-07",10.32
"GREB1L",-4.1805,5.4181,-13.499761712191,"1.231e-08","3.395e-07",10.31
"SLC20A2",-0.9892,5.2519,-13.5132838752267,"1.217e-08","3.369e-07",10.31
"DDX18",0.6864,7.6137,13.4962992896353,"1.235e-08","3.395e-07",10.29
"MYB",-0.9857,6.2703,-13.4825127058392,"1.249e-08","3.417e-07",10.29
"GPR162",1.7374,2.9127,13.3761474756298,"1.367e-08","3.638e-07",10.29
"OSGIN2",1.291,4.853,13.480979397565,"1.251e-08","3.417e-07",10.29
"ESR1",-5.0942,3.646,-13.3419263935469,"1.407e-08","3.676e-07",10.29
"MSANTD3",1.5846,6.3115,13.4663345059817,"1.266e-08","3.437e-07",10.28
"RFC3",0.6923,6.5756,13.4711059522518,"1.261e-08","3.434e-07",10.27
"DLX6",2.1025,4.1063,13.4360961181469,"1.299e-08","3.515e-07",10.26
"GPR157",-2.3606,3.9313,-13.3179777683561,"1.436e-08","3.717e-07",10.22
"RDH10",-1.4718,5.4099,-13.4046829895928,"1.334e-08","3.598e-07",10.21
